round,client,n_samples,train_loss,train_acc,val_loss,val_acc
4,7,6265,0.0,1.0,3.6181714635379508e-09,1.0
4,8,5851,0.0,1.0,0.0,1.0
4,9,5949,0.0,1.0,3.010334733452776e-09,1.0
5,0,5923,0.0,1.0,6.041010334610218e-10,1.0
5,1,6742,0.0,1.0,0.0,1.0
5,2,5958,0.0,1.0,4.007034704045509e-10,1.0
5,3,6131,0.0,1.0,1.944686499924207e-10,1.0
5,4,5842,0.0,1.0,6.532004915651333e-09,1.0
5,5,5421,0.0,1.0,1.09971637864142e-09,1.0
5,6,5918,7.947285496356926e-09,1.0,0.0,1.0
5,7,6265,0.0,1.0,2.666021768986096e-09,1.0
