round,client,n_samples,train_loss,train_acc,val_loss,val_acc
2,0,5923,0.029802006495730258,0.9904333145751266,1.409568966053214e-09,1.0
2,1,6742,0.031469661604948934,0.989452867501648,0.0,1.0
2,2,5958,0.04185172149039357,0.988066380757039,3.005275204043396e-09,1.0
2,3,6131,0.03093756176519487,0.9885828198622689,2.722560091456402e-09,1.0
2,4,5842,0.03173264380773956,0.9883986306580449,2.653630374798885e-09,1.0
2,5,5421,0.030861474955634852,0.9948759991801599,8.57777494790226e-09,1.0
2,6,5918,0.027029597582354938,0.9941805894499719,6.05123237098489e-10,1.0
2,7,6265,0.020648829436053114,1.0,9.90235511622064e-09,1.0
2,8,5851,0.029721788747042295,0.9889859475883023,0.0,1.0
2,9,5949,0.04092818692431891,0.9880485527544351,9.030997597334926e-09,1.0
3,0,5923,0.019752187265754086,0.999062089664228,7.651935781701788e-09,1.0
3,1,6742,0.014073305769754425,1.0,7.07473475780398e-10,1.0
3,2,5958,0.027149057413345366,0.991609173969793,4.808438826567457e-09,1.0
3,3,6131,0.031209455157833122,0.9885828198622689,1.16681167972105e-09,1.0
3,4,5842,0.028633092904808654,0.9914416127805249,3.878382084285601e-09,1.0
3,5,5421,0.03169630014609341,0.989137118261939,7.478063603364355e-09,1.0
3,6,5918,0.02364212651040403,0.9951192040548151,2.0170774289419505e-09,1.0
3,7,6265,0.02088237207588446,0.995921262635219,6.2841904629964506e-09,1.0
3,8,5851,0.031276264351367385,0.98841625522218,0.0,1.0
3,9,5949,0.028654777592849987,0.988422035480859,1.9065423550414273e-08,1.0
4,0,5923,0.018576637735354097,0.999062089664228,3.2218696179444195e-09,1.0
4,1,6742,0.013373292264040666,1.0,5.306051147419313e-10,1.0
4,2,5958,0.024806485954645706,0.9921685623718068,3.2056267601172506e-09,1.0
4,3,6131,0.02609569609869427,0.9922073214932947,3.889372768023704e-10,1.0
4,4,5842,0.02568494124190697,0.9918219855458349,1.4288781299717512e-09,1.0
4,5,5421,0.03135046772796155,0.9881123180979708,1.7595462635087081e-09,1.0
4,6,5918,0.020348293389861234,0.9973718791064389,4.034155074292856e-10,1.0
4,7,6265,0.015999443077030922,0.9987586451498492,3.6181714635379508e-09,1.0
4,8,5851,0.026302430883943587,0.9916445119635396,0.0,1.0
4,9,5949,0.029338013480947514,0.9882352941176471,3.4117126213563534e-09,1.0
5,0,5923,0.014718501364573412,0.999062089664228,8.054679806018367e-10,1.0
5,1,6742,0.010289281471376617,1.0,0.0,1.0
5,2,5958,0.024112822750891733,0.9934738019765057,4.0070344652076144e-10,1.0
5,3,6131,0.02621526452414773,0.9902138455962305,3.889372768023704e-10,1.0
5,4,5842,0.023861117685236487,0.9933434766070749,7.144379797048477e-09,1.0
5,5,5421,0.031719719679340425,0.9889321582291453,8.797731448639987e-10,1.0
5,6,5918,0.019837356560384923,0.9964332645015956,0.0,1.0
5,7,6265,0.01511687286251606,0.9980492995211917,2.094731425590719e-09,1.0
5,8,5851,0.02695313974229627,0.9916445119635396,0.0,1.0
5,9,5949,0.02644265668526495,0.9882352941176471,4.214468110075533e-09,1.0
1,0,5923,0.2930831484252053,0.9557306321515663,0.0,1.0
1,1,6742,0.28025642120987027,0.9602834541858932,0.0,1.0
1,2,5958,0.3166814449274837,0.9472310274100317,4.0070344652076144e-10,1.0
1,3,6131,0.30256197084137093,0.9613990576295759,0.0,1.0
1,4,5842,0.34085322130222595,0.9497907949790795,0.0,1.0
1,5,5421,0.3636358833637371,0.9471203115392498,2.1994332554493337e-10,1.0
1,6,5918,0.2966152772030147,0.9590764032288343,0.0,1.0
1,7,6265,0.31373176864398117,0.9462670686291895,3.808603046004043e-10,1.0
1,8,5851,0.2920695671758831,0.9880364603114318,0.0,1.0
1,9,5949,0.35135145964071707,0.9329598506069094,0.0,1.0
2,0,5923,0.05627375242083242,0.989120240105046,2.4505837028089975e-07,1.0
2,1,6742,0.0395921576044461,0.9996704021094265,7.97674185985104e-08,1.0
2,2,5958,0.062432056663551,0.988066380757039,4.327586060260593e-08,1.0
2,3,6131,0.07737601186026966,0.9858644436389996,2.7420036471579107e-08,1.0
2,4,5842,0.0928494913156061,0.9809813617344998,5.090416730570736e-07,1.0
2,5,5421,0.052285596276101395,0.9930313588850174,1.860703219547069e-07,1.0
2,6,5918,0.054118079620060766,0.9889243476628496,7.644702150348595e-08,1.0
2,7,6265,0.06650561365925407,0.988650469941479,1.4075401631961599e-06,1.0
2,8,5851,0.042529483294117806,0.994113178883403,4.666471790482548e-08,1.0
2,9,5949,0.055076821072919654,0.988795518207283,1.7680381505125e-07,1.0
3,0,5923,0.028346584935644518,0.996060776589758,9.605147495390893e-08,1.0
3,1,6742,0.02244091104881879,0.9998352010547132,4.421708129876614e-09,1.0
3,2,5958,0.038904521048332,0.9903039343650941,7.613363238818261e-09,1.0
3,3,6131,0.03954926609469153,0.9887640449438202,4.47277762842483e-09,1.0
3,4,5842,0.047585179330774635,0.9878280715100799,2.7677827916330544e-07,1.0
3,5,5421,0.04072218554338785,0.990161918425907,1.8695161446804776e-08,1.0
3,6,5918,0.035840071740132935,0.9908015768725361,1.8557100874186783e-08,1.0
3,7,6265,0.03502417947538597,0.9907785068274517,4.295713185860304e-07,1.0
3,8,5851,0.031849122091201346,0.9918344094189138,4.483082000594869e-09,1.0
3,9,5949,0.030236482574224077,0.9970121381886088,3.2310826624798397e-08,1.0
4,0,5923,0.021399488904404795,0.9986869255299193,9.464243479008295e-09,1.0
4,1,6742,0.017760868091096546,0.9998352010547132,0.0,1.0
4,2,5958,0.029707832222822615,0.991609173969793,1.2021103634460738e-09,1.0
4,3,6131,0.03305568089674088,0.9885828198622689,3.889372768023704e-10,1.0
4,4,5842,0.033803113236696214,0.9878280715100799,8.818033211384414e-08,1.0
4,5,5421,0.03576072424129085,0.9881123180979708,1.5396031870470218e-09,1.0
4,6,5918,0.032597242866920284,0.9889243476628496,3.429031440444616e-09,1.0
4,7,6265,0.023829451302044738,0.9962759354495478,6.43644141066394e-08,1.0
4,8,5851,0.031236860724893,0.9886061526775541,1.630212118004401e-09,1.0
4,9,5949,0.02589429214012873,0.9964519140989729,2.2075787542916404e-09,1.0
5,0,5923,0.020523495307521494,0.9981241793284562,1.812303028368599e-09,1.0
5,1,6742,0.016246484306414892,1.0,0.0,1.0
5,2,5958,0.02547466135469666,0.9944061159798621,0.0,1.0
5,3,6131,0.029521112278643753,0.9884015947807177,0.0,1.0
5,4,5842,0.02792595258485583,0.9883986306580449,1.4084613268681856e-08,1.0
5,5,5421,0.03254185980283451,0.9885222381635581,0.0,1.0
5,6,5918,0.02860584031891347,0.9904261310305988,2.017077537146428e-10,1.0
5,7,6265,0.019689914117935272,0.9971626174853697,9.331056509644566e-09,1.0
5,8,5851,0.029611875147406045,0.9882263577668059,0.0,1.0
5,9,5949,0.02473001494715066,0.9929038281979459,8.02756086819126e-10,1.0
